Word,Frequency,Original Loading,Transformed Loading
i,0.027624113475177247,0.18534482445374106,0.35034864670935495
what,0.0033687943262410945,0.10308618062255423,0.06058500953456525
and,0.008085106382978683,-0.081258969761075,-0.14569032254245584
made,0.0020212765957446,-0.2867915701551672,-0.34908424082505163
case,0.0013475177304964,0.17385723323721156,0.3600382612605697
we,0.0033687943262410945,-0.487507623210513,-0.4946603843886487
yes,0.004042553191489294,0.551569557854932,-0.039164793720164674
great,0.0020212765957446,-0.9760376533543089,-0.7540127955163409
beasts,0.0006737588652482,-0.3645290756072304,-1.044041937795372
prejudice,0.0006737588652482,-0.5114286541836227,-0.35845917349416145
loved,0.0006737588652482,1.741165145333969,1.0293745398844094
real,0.0006737588652482,0.28134138860450564,0.13776680522057944
they,0.008085106382978683,-0.05983800498371368,-0.04523024819490823
would,0.0033687943262410945,-0.7709255625795601,-0.3967904684936735
exactly,0.0013475177304964,0.34138810508596207,0.20781948955741175
least,0.0013475177304964,-0.07022231644768881,-0.09884485165374639
others,0.0006737588652482,-1.2483016032325842,-1.005129407346463
hands,0.0013475177304964,0.03591970430921494,-0.37130936088510236
a,0.0033687943262410945,-0.11154421978418046,0.1163622024694189
true,0.0006737588652482,-0.5463751580553309,-0.3780968657344221
fool,0.0013475177304964,-0.4584403922889022,-0.817413553188995
come,0.0020212765957446,-0.009423090563381082,0.13349518916850295
ever,0.0006737588652482,0.10103739006034515,0.34051331710343785
sometimes,0.0006737588652482,0.3324030762477285,0.11843644118461878
ass,0.0006737588652482,-0.40136502560392684,-1.0710657800108074
tell,0.004042553191489294,0.2805004859982281,0.010998952415665956
who,0.0006737588652482,-0.046393257605982986,-0.30282655864845437
think,0.004042553191489294,0.20064386382860425,-0.24573784540697496
god,0.0020212765957446,-1.2771592634285764,-1.1383925904668943
stop,0.0013475177304964,0.04992507328054728,-0.205357376453023
thee,0.0013475177304964,-0.4030280503173773,-1.0362898758948555
way,0.0026950354609928937,-0.3595262073312836,-0.22716439283834622
poor,0.0006737588652482,0.275545077438381,0.021116669109687864
countrymen,0.0006737588652482,-1.8803110440541122,-2.0504097820194005
the,0.006063829787233988,-0.7438520414187013,-0.1074517339724074
done,0.0006737588652482,-0.4423918233465357,-0.6881001706769492
if,0.0026950354609928937,-0.6440407016034454,-0.13986664844454486
mouth,0.0013475177304964,0.44099552609222964,-0.19918427882016293
word,0.0006737588652482,-0.6057307104539414,-0.41622123987951937
death,0.0006737588652482,-0.17223506752594528,-0.2238266905781961
could,0.008085106382978683,-0.6026876351922723,-0.445503078325022
woman,0.0020212765957446,4.471145306972852,3.6570094093862964
another,0.0006737588652482,-0.05360853343019571,0.2639411608389741
man,0.0033687943262410945,-2.423893579597999,-2.360639673921783
though,0.0026950354609928937,0.2116831560267821,-0.010606842158592375
hated,0.0006737588652482,0.7259435077386971,0.11468859391089199
lose,0.0013475177304964,-0.7517882379445635,-0.5116210188181366
heart,0.0013475177304964,0.3393824219416163,0.043769520630353706
believe,0.0013475177304964,-1.116208087056963,-0.911101565164661
see,0.004042553191489294,-0.14975596701528257,-0.347768169847709
beautiful,0.0013475177304964,2.8205100984672904,1.8992857546640025
she,0.0053900709219857875,5.143988729448194,4.276433522335919
business,0.0013475177304964,-0.7548767045179419,-0.718823520770867
change,0.0006737588652482,-0.24167164345292788,-0.38741531835356185
he,0.010106382978723374,-1.3659166333823227,-1.3628425834430906
already,0.0006737588652482,-0.6979671587418979,-0.5277230107206001
john,0.0013475177304964,-0.8618127376961361,-0.6206463203633327
leave,0.0006737588652482,0.2687971823145904,-0.10666108045015239
it,0.006737588652482189,-0.3448449176910562,-0.1778541892268773
well,0.004042553191489294,-0.016780788848053223,0.1489407400898419
must,0.0006737588652482,-0.32044217758941074,-0.06011719806278441
hear,0.0013475177304964,-0.09705790496715545,-0.23907007845420014
sleep,0.0013475177304964,0.9249262575895711,0.32161264042547805
world,0.0013475177304964,-0.5091446031872912,-0.2297125372770811
natural,0.0006737588652482,0.33829184950490343,0.25972316943557083
brought,0.0006737588652482,0.0063575811409979,-0.15691600252537644
us,0.0013475177304964,-0.851466608193437,-0.597798961504682
one,0.0033687943262410945,-0.4116899171189806,-0.03453856083090897
away,0.0006737588652482,0.005176585855180407,-0.5349007481931898
use,0.0006737588652482,-0.3921534741054654,-0.09859879578122327
men,0.0013475177304964,-2.19310433596005,-2.2260483472001247
my,0.0006737588652482,0.5408780466041412,-0.040273517390726085
got,0.0013475177304964,0.10957537186515443,-0.22738633628365515
two,0.0020212765957446,-0.11247957167684616,-0.045850577436179575
no,0.0013475177304964,0.24925320213948243,0.11727117284741972
blind,0.0006737588652482,-0.4448884349915579,-0.6735183295552949
bitterly,0.0006737588652482,0.05101834647873314,-0.13526737402373173
frequently,0.0006737588652482,0.6383044835477153,0.5519944778534731
silly,0.0013475177304964,1.1472132583272203,0.5364702289292604
child,0.0006737588652482,2.9531565461857943,2.047226212248211
giving,0.0006737588652482,-0.30340993733271027,-0.35230934921029805
wisdom,0.0006737588652482,-1.864953790405897,-1.9601933059654866
month,0.0006737588652482,0.28459802605742296,0.3663019943591817
people,0.0053900709219857875,-1.1061656052371052,-0.9211444606101546
go,0.0026950354609928937,-0.33026966471465724,-0.6291538801263442
left,0.0026950354609928937,0.06606331647373365,-0.0932731665565359
turn,0.0013475177304964,-1.1595323072835688,-1.0415719380249828
little,0.004716312056737494,0.7415133916554167,0.3984078447152932
feeling,0.0006737588652482,0.44033448998915314,0.14591178226792856
