year,target,count
1900,i,7
1900,man,7
1900,he,7
1900,it,6
1900,boy,5
1900,one,3
1900,thing,3
1900,creature,3
1900,people,2
1900,eye,2
1900,you,2
1900,fidelity,2
1900,beast,2
1900,pride,2
1900,half,2
1900,girl,2
1900,fight,2
1900,story,2
1900,they,2
1900,oracle,2
1900,that,2
1900,nun,1
1900,sister,1
1900,way,1
1900,all,1
1900,nothing,1
1900,crew,1
1900,who,1
1900,number,1
1900,war,1
1900,brute,1
1900,senator,1
1900,husband,1
1900,youth,1
1900,habit,1
1900,effort,1
1900,arrangement,1
1900,waste,1
1900,dog,1
1900,discovery,1
1900,bell,1
1900,lip,1
1900,tiding,1
1900,notion,1
1900,language,1
1900,reason,1
1900,tie,1
1900,which,1
1900,play,1
1900,business,1
1900,school,1
1900,quarrel,1
1900,behavior,1
1900,ice,1
1900,merriwell,1
1900,bewilderment,1
1900,show,1
1900,grasshopper,1
1900,rita,1
1900,heard,1
1900,she,1
1900,duffer,1
1900,correlli,1
1900,mistake,1
1900,crab,1
1900,step,1
1900,drove,1
1900,selfconsciousness,1
1900,fury,1
1900,swede,1
1900,speculation,1
1900,question,1
1900,sommer,1
1900,desire,1
1900,wonder,1
1900,jest,1
1900,alarm,1
1900,table,1
1900,idolatry,1
1900,admiration,1
1900,suffering,1
1900,talk,1
1900,blundering,1
1900,cannonmouth,1
1900,ii,1
1900,sophy,1
1900,child,1
1900,servant,1
1900,ned,1
1900,dolt,1
1900,military,1
1900,what,1
1900,comrade,1
1900,faith,1
1900,confusion,1
1900,cowardliness,1
1900,imperialist,1
1900,regulation,1
1900,intensity,1
1900,forgery,1
1900,choice,1
1900,flagfetishism,1
1900,besieging,1
1901,waiter,4
1901,i,4
1901,you,3
1901,thing,3
1901,man,3
1901,boy,2
1901,one,2
1901,it,2
1901,idea,2
1901,conduct,2
1901,head,2
1901,tableland,1
1901,senor,1
1901,jest,1
1901,rumor,1
1901,story,1
1901,pride,1
1901,eye,1
1901,cluster,1
1901,romans,1
1901,war,1
1901,act,1
1901,bull,1
1901,shriek,1
1901,way,1
1901,fellow,1
1901,question,1
1901,claim,1
1901,christianity,1
1901,poet,1
1901,oakdale,1
1901,fashion,1
1901,sentimentality,1
1901,polly,1
1901,scruple,1
1901,fright,1
1901,she,1
1901,cattle,1
1901,animal,1
1901,satan,1
1901,policy,1
1901,class,1
1901,crowd,1
1901,priest,1
1901,creature,1
1901,duplication,1
1901,force,1
1901,white,1
1901,who,1
1901,persistence,1
1901,obstacle,1
1901,expenditure,1
1901,world,1
1901,method,1
1901,fate,1
1901,face,1
1901,brute,1
1901,he,1
1901,example,1
1901,interest,1
1901,woman,1
1901,that,1
1901,madame,1
1901,person,1
1902,it,14
1902,thing,11
1902,i,10
1902,he,6
1902,show,5
1902,woman,4
1902,man,4
1902,they,3
1902,you,3
1902,that,3
1902,way,3
1902,youngster,3
1902,talk,2
1902,head,2
1902,child,2
1902,bard,2
1902,beast,2
1902,fellow,2
1902,girl,2
1902,misunderstanding,2
1902,native,1
1902,jinny,1
1902,person,1
1902,victim,1
1902,mind,1
1902,t,1
1902,th,1
1902,argye,1
1902,comfort,1
1902,wonderment,1
1902,fancy,1
1902,doctor,1
1902,piece,1
1902,reticence,1
1902,escapade,1
1902,piano,1
1902,legislation,1
1902,father,1
1902,book,1
1902,life,1
1902,body,1
1902,king,1
1902,tale,1
1902,town,1
1902,will,1
1902,boy,1
1902,infatuation,1
1902,this,1
1902,report,1
1902,ef,1
1902,point,1
1902,beauty,1
1902,delight,1
1902,heart,1
1902,dreamer,1
1902,word,1
1902,mouse,1
1902,enterprise,1
1902,part,1
1902,fool,1
1902,we,1
1902,reasoning,1
1902,detective,1
1902,passion,1
1902,pursuit,1
1902,judgment,1
1902,curran,1
1902,other,1
1902,offer,1
1902,prediction,1
1902,one,1
1902,notion,1
1902,prayer,1
1902,recognition,1
1902,resolution,1
1902,pani,1
1902,study,1
1902,many,1
1902,pierre,1
1902,thou,1
1902,affection,1
1902,resentment,1
1902,earth,1
1902,age,1
1902,present,1
1902,kind,1
1902,world,1
1902,enemy,1
1902,blunder,1
1902,plimsantry,1
1902,quality,1
1902,machine,1
1902,fawn,1
1902,wonder,1
1902,nose,1
1902,indifference,1
1902,simpleton,1
1902,conduct,1
